_id,state_id,division_id,parliament_id,assembly_id,party_id,year_id,candidate_id,total_electors,total_votes,margin,margin_percentage,created_by,assembly_no,poll_percentage,type
68bac639ff370da694e26348,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206584,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a16727031a,299197,171735,17819,0.104,684ab4dce856ee7729dde255,16,0.574,GEN
68bac639ff370da694e26349,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206584,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895b201e35251fb74323c20,266208,140975,1147,0.008,684ab4dce856ee7729dde255,16,0.53,GEN
68bac639ff370da694e2634a,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206585,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,688777c776bc0350acbf567d,232836,130544,16267,0.125,684ab4dce856ee7729dde255,17,0.561,GEN
68bac639ff370da694e2634d,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206585,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a167270329,256802,150880,121,0.001,684ab4dce856ee7729dde255,17,0.588,GEN
68bac639ff370da694e26350,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206586,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,68931c8328b5a7a16727030f,201621,139487,6548,0.047,684ab4dce856ee7729dde255,18,0.692,GEN
68bac639ff370da694e26351,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206586,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a16727030f,214942,154762,12130,0.078,684ab4dce856ee7729dde255,18,0.72,GEN
68bac639ff370da694e26354,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206587,68316363fb08f1710d17d2d5,6877446edff1e9c4616e78d9,68931c8328b5a7a1672702f9,198189,126034,33278,0.264,684ab4dce856ee7729dde255,19,0.636,SC
68bac639ff370da694e26355,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206587,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702f9,212245,147100,57446,0.391,684ab4dce856ee7729dde255,19,0.693,SC
68bac639ff370da694e26358,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206588,68316363fb08f1710d17d2d5,68774476dff1e9c4616e78dc,68931c8328b5a7a1672702f0,170358,121201,33268,0.274,684ab4dce856ee7729dde255,20,0.711,GEN
68bac639ff370da694e26359,6825c30edbda2b3debc751ff,685fd257267d3d01c364e5f5,68887d5a2c5282412771db43,68876e3f6382aed3fb206588,6823469b436f44ab6db3154e,6877446edff1e9c4616e78d9,6895a419e35251fb74323a55,163587,116631,8809,0.076,684ab4dce856ee7729dde255,20,0.713,GEN
